
=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

Run 1
Meso Accuracy: 0.943509

Run 32
Fold 1: 0.942310
Fold 2: 0.943329
Fold 3: 0.945673
Fold 4: 0.944858
Fold 5: 0.943221
Fold 6: 0.945566
Fold 7: 0.942712
Fold 8: 0.944954
Fold 9: 0.945362
Fold 10: 0.941794
Meso Accuracy: 0.943978

Run 33
Fold 1: 0.943329
Fold 2: 0.948221
Fold 3: 0.942412
Fold 4: 0.941290
Fold 5: 0.943119
Fold 6: 0.945770
Fold 7: 0.942915
Fold 8: 0.942508
Fold 9: 0.941794
Fold 10: 0.943935
Meso Accuracy: 0.943529

Run 34
Fold 1: 0.945062
Fold 2: 0.941188
Fold 3: 0.945775
Fold 4: 0.945469
Fold 5: 0.942100
Fold 6: 0.942508
Fold 7: 0.946177
Fold 8: 0.942508
Fold 9: 0.944037
Fold 10: 0.942915
Meso Accuracy: 0.943774

Run 35
Fold 1: 0.942819
Fold 2: 0.943533
Fold 3: 0.944144
Fold 4: 0.942208
Fold 5: 0.939450
Fold 6: 0.943425
Fold 7: 0.945566
Fold 8: 0.944954
Fold 9: 0.942304
Fold 10: 0.944750
Meso Accuracy: 0.943315

Run 36
Fold 1: 0.940475
Fold 2: 0.944858
Fold 3: 0.946285
Fold 4: 0.943533
Fold 5: 0.943935
Fold 6: 0.941081
Fold 7: 0.943119
Fold 8: 0.942610
Fold 9: 0.943935
Fold 10: 0.944954
Meso Accuracy: 0.943478

Run 37
Fold 1: 0.942310
Fold 2: 0.941800
Fold 3: 0.943125
Fold 4: 0.944858
Fold 5: 0.944444
Fold 6: 0.941386
Fold 7: 0.943527
Fold 8: 0.943119
Fold 9: 0.948828
Fold 10: 0.946483
Meso Accuracy: 0.943988

Run 38
Fold 1: 0.942717
Fold 2: 0.945571
Fold 3: 0.944552
Fold 4: 0.944042
Fold 5: 0.944546
Fold 6: 0.942813
Fold 7: 0.944343
Fold 8: 0.943221
Fold 9: 0.944139
Fold 10: 0.942100
Meso Accuracy: 0.943805

Run 39
Fold 1: 0.945775
Fold 2: 0.940985
Fold 3: 0.941596
Fold 4: 0.940883
Fold 5: 0.945668
Fold 6: 0.949032
